14.65887562189055, 115, 1005
13.336928213689482, 1, 1
14.65887562189055, 115, 1005
13.336928213689482, 1, 1
11.53161354581673, 82, 1005
10.506640079760718, 100, 1004
9.133466135458168, 63, 1005
8.195049800796813, 43, 1005
6.461343283582089, 13, 1005
5.170940000000001, 6, 1005
1.655004975124378, 771, 1005
-0.31998007968127495, 1003, 1005
-0.29332338308457706, 997, 1005
nan, 220, 221
-3.0175095785440615, 261, 261
-3.124322916666667, 190, 192
-3.1063684210526317, 189, 190
-2.888624161073826, 295, 298
